r,scenario,attack0,attack1,attack2,attack3,attack4
1.2,hom8,0.000343386,0.000393015,0.000394569,0.000354209,0.000192513
1.2,hom8,0.000339743,0.000390090,0.000361105,0.000354969,0.000199579
1.2,hom9,0.000311561,0.000282709,0.000335526,0.000318052,0.000190198
1.2,hom9,0.000320892,0.000312810,0.000407068,0.000344067,0.000186300
1.2,hom9,0.000281912,0.000289844,0.000363135,0.000330107,0.000202773
1.2,hom9,0.000277640,0.000325392,0.000347677,0.000317880,0.000160369
1.2,hom9,0.000336524,0.000316475,0.000402716,0.000344360,0.000192859
1.2,hom9,0.000295058,0.000305825,0.000312053,0.000304117,0.000168793
1.2,hom9,0.000306526,0.000274248,0.000340553,0.000306357,0.000184528
1.2,hom9,0.000300882,0.000270751,0.000368179,0.000326129,0.000163393
1.2,hom9,0.000336491,0.000308885,0.000346312,0.000326786,0.000173028
1.2,hom9,0.000363126,0.000279043,0.000356139,0.000328696,0.000197241
1.3,base,0.217947000,0.423884000,0.165034000,0.178348000,0.134988000
1.3,base,0.217794000,0.423442000,0.165711000,0.177557000,0.135787000
1.3,base,0.217962000,0.423599000,0.165645000,0.177478000,0.135652000
1.3,base,0.216120000,0.422803000,0.165342000,0.177577000,0.134978000
1.3,base,0.216294000,0.424134000,0.165546000,0.178022000,0.135662000
1.3,base,0.217559000,0.422606000,0.165782000,0.177634000,0.135177000
1.3,base,0.218509000,0.424184000,0.166336000,0.178218000,0.135471000
1.3,base,0.218669000,0.425370000,0.166757000,0.178918000,0.136620000
1.3,base,0.217435000,0.423904000,0.165807000,0.178144000,0.135670000
1.3,base,0.216863000,0.424072000,0.165565000,0.177898000,0.135992000
1.3,het0,0.067943700,0.173039000,0.058853600,0.061797200,0.036765800
1.3,het0,0.063411400,0.162256000,0.054933500,0.057709800,0.034150700
1.3,het0,0.056227100,0.144639000,0.048150100,0.051334800,0.030329300
1.3,het0,0.068059000,0.172957000,0.058751100,0.061993500,0.036419400
1.3,het0,0.058522100,0.150673000,0.050888100,0.053236100,0.031382200
1.3,het0,0.066673200,0.169218000,0.057040300,0.060554000,0.035945700
1.3,het0,0.060242000,0.153159000,0.051476700,0.054497800,0.031936600
1.3,het0,0.061505500,0.157553000,0.053302000,0.056048000,0.033004700
1.3,het0,0.071413300,0.181968000,0.062129600,0.065016100,0.038148100
1.3,het0,0.063437000,0.161763000,0.054556000,0.057172800,0.033614300
1.3,het1,0.048996400,0.123989000,0.042622400,0.044892700,0.026297900
1.3,het1,0.057014200,0.142901000,0.049663700,0.052232200,0.030822200
1.3,het1,0.053041600,0.131511000,0.045687600,0.047954200,0.028198600
1.3,het1,0.050848800,0.126867000,0.043862700,0.046448700,0.027108300
1.3,het1,0.052685400,0.132300000,0.045569300,0.048227800,0.028425000
1.3,het1,0.052120400,0.130122000,0.044976800,0.047316400,0.027918000
