"","scenario","r","AgeGroup","AveAttackRate","SDAttackRate","vax"
"330","hom","1.4","65+",0.0003175373,2.35767802440829e-05,"10"
"331","hom","1.4","0-4",0.0004542107,6.0085435131153e-05,"11"
"332","hom","1.4","5-18",0.0003480507,6.43903756387552e-05,"11"
"333","hom","1.4","19-29",0.0005601167,6.9310647775953e-05,"11"
"334","hom","1.4","30-64",0.0004980944,5.49156016451103e-05,"11"
"335","hom","1.4","65+",0.0002675724,3.60154868423139e-05,"11"
"336","hom","1.4","0-4",0.02744439,0.00196907890505519,"2"
"337","hom","1.4","5-18",0.06658762,0.00481754355658105,"2"
"338","hom","1.4","19-29",0.02795717,0.00222596485299696,"2"
"339","hom","1.4","30-64",0.02794296,0.00213265906542357,"2"
"340","hom","1.4","65+",0.01351825,0.00109826592737015,"2"
"341","hom","1.4","0-4",0.0170422,0.00178213834729206,"3"
"342","hom","1.4","5-18",0.03980885,0.00414415049926466,"3"
"343","hom","1.4","19-29",0.01774393,0.00183317114194684,"3"
"344","hom","1.4","30-64",0.01769142,0.00185295907660033,"3"
"345","hom","1.4","65+",0.008510506,0.000892552043863238,"3"
"346","hom","1.4","0-4",0.008546035,0.000461387367987994,"4"
"347","hom","1.4","5-18",0.01835401,0.000973113056638332,"4"
"348","hom","1.4","19-29",0.008869629,0.000484368474119767,"4"
"349","hom","1.4","30-64",0.008779601,0.000466560589216449,"4"
"350","hom","1.4","65+",0.004263281,0.000217702536730487,"4"
"351","hom","1.4","0-4",0.00417419,0.000549157449917599,"5"
"352","hom","1.4","5-18",0.008381031,0.00106534663333844,"5"
"353","hom","1.4","19-29",0.004506183,0.000548939596111347,"5"
"354","hom","1.4","30-64",0.004398469,0.000551109216750888,"5"
"355","hom","1.4","65+",0.002148582,0.000273955032879486,"5"
"356","hom","1.4","0-4",0.002575807,0.000205657716879825,"6"
"357","hom","1.4","5-18",0.004539209,0.000387901070132579,"6"
"358","hom","1.4","19-29",0.002738213,0.000218974059501221,"6"
"359","hom","1.4","30-64",0.002655989,0.000203127646154388,"6"
"360","hom","1.4","65+",0.00132799,8.43414779993279e-05,"6"
"361","hom","1.4","0-4",0.001417596,0.000219550955725544,"7"
